Algorithm , InputSize , HullPercent , AvgSolveTime
Graham , 1000 , Min , 3.2
Jarvis , 1000 , Min , 0.0
Graham , 1000 , 0.0 , 1.2
Jarvis , 1000 , 0.0 , 1.4
Graham , 1000 , 0.01 , 1.6
Jarvis , 1000 , 0.01 , 0.6
Graham , 1000 , 0.02 , 3.4
Jarvis , 1000 , 0.02 , 0.8
Graham , 1000 , 0.03 , 1.4
Jarvis , 1000 , 0.03 , 0.8
Graham , 1000 , 0.04 , 1.8
Jarvis , 1000 , 0.04 , 1.8
Graham , 10000 , Min , 17.4
Jarvis , 10000 , Min , 1.0
Graham , 10000 , 0.0 , 16.4
Jarvis , 10000 , 0.0 , 3.6
Graham , 10000 , 0.01 , 10.8
Jarvis , 10000 , 0.01 , 10.2
Graham , 10000 , 0.02 , 7.0
Jarvis , 10000 , 0.02 , 18.2
Graham , 10000 , 0.03 , 7.2
Jarvis , 10000 , 0.03 , 24.0
Graham , 10000 , 0.04 , 7.0
Jarvis , 10000 , 0.04 , 37.2
Graham , 100000 , Min , 77.0
Jarvis , 100000 , Min , 15.2
Graham , 100000 , 0.0 , 50.4
Jarvis , 100000 , 0.0 , 37.4
Graham , 100000 , 0.01 , 52.6
Jarvis , 100000 , 0.01 , 428.0
Graham , 100000 , 0.02 , 66.4
Jarvis , 100000 , 0.02 , 915.4
Graham , 100000 , 0.03 , 45.0
Jarvis , 100000 , 0.03 , 1627.2
Graham , 100000 , 0.04 , 57.6
Jarvis , 100000 , 0.04 , 1733.6
